,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo
0,2022,4,1,6,3,573,222,11,Oct-Dic
1,2022,3,1,6,3,557,235,11,Jul-Sept
2,2022,2,1,6,3,556,232,11,Abr-Jun
3,2022,1,2,6,2,546,252,11,Ene-Mar
4,2021,4,2,6,2,523,253,10,Oct-Dic
5,2021,3,2,6,2,492,250,10,Jul-Sept
6,2021,2,2,6,1,477,254,10,Abr-Jun
7,2021,1,2,5,1,435,250,10,Ene-Mar
8,2020,4,2,5,1,422,253,10,Oct-Dic
9,2020,3,2,5,1,413,249,9,Jul-Sept
10,2020,2,2,5,1,377,247,9,Abr-Jun
11,2020,1,2,5,1,352,209,9,Ene-Mar
12,2019,4,2,5,941,340,213,9,Oct-Dic
13,2019,3,3,5,852,338,264,9,Jul-Sept
14,2019,2,3,5,761,308,265,9,Abr-Jun
15,2019,1,3,4,637,276,166,9,Ene-Mar
16,2018,4,3,4,388,264,178,8,Oct-Dic
17,2018,3,4,4,247,246,94,8,Jul-Sept
18,2018,2,4,4,226,194,95,8,Abr-Jun
19,2018,1,4,4,217,165,99,8,Ene-Mar
20,2017,4,4,4,211,156,101,8,Oct-Dic
21,2017,3,4,4,194,106,132,8,Jul-Sept
22,2017,2,4,3,181,86,56,7,Abr-Jun
23,2017,1,4,3,180,85,56,7,Ene-Mar
24,2016,4,4,3,178,85,55,7,Oct-Dic
25,2016,3,4,3,170,81,54,7,Jul-Sept
26,2016,2,4,3,168,85,59,7,Abr-Jun
27,2016,1,4,3,164,85,59,7,Ene-Mar
28,2015,4,4,3,139,86,59,7,Oct-Dic
29,2015,3,4,3,163,85,59,7,Jul-Sept
30,2015,2,4,3,151,82,59,7,Abr-Jun
31,2015,1,4,3,168,79,66,7,Ene-Mar
32,2014,4,4,3,150,77,72,7,Oct-Dic
33,2014,3,4,3,155,85,70,7,Jul-Sept
34,2014,2,4,2,149,72,72,6,Abr-Jun
35,2014,1,4,2,150,71,73,6,Ene-Mar
